$ cat resultados.txt
Number of disks         Real time
3                       0m0.166s
4                       0m0.032s
5                       0m0.018s
6                       0m0.019s
7                       0m0.019s
8                       0m0.018s
9                       0m0.021s
10                      0m0.020s
11                      0m0.021s
12                      0m0.030s
13                      0m0.023s
14                      0m0.027s
15                      0m0.021s
16                      0m0.022s
17                      0m0.027s
18                      0m0.031s
19                      0m0.046s
20                      0m0.075s
21                      0m0.116s
22                      0m0.224s
23                      0m0.526s
24                      0m0.819s
25                      0m1.629s
26                      0m3.118s
27                      0m6.090s
28                      0m12.527s
29                      0m24.801s
30                      0m55.038s
31                      1m40.466s
32                      3m40.451s
33                      7m11.963s                     
